Date,Total_PnL,Average_PnL,Total_Volume_Notional,Num_Trades,Num_Longs,Num_Shorts,Effective_Leverage,Long_Short_Ratio,Classification
2024-04-10,5207.443414,127.01081497560976,351735.94638,41,40,1,0.0485356269913201,39.99999996,Greed
2024-04-11,389.743164,24.35894775,76400.96631999999,16,14,2,0.22153351599793855,6.9999999965,Greed
2024-04-12,-592.6458390000001,-4.594153790697676,442088.595023,129,43,86,0.10989107026769841,0.49999999999418604,Greed
2024-04-13,6621.451755,74.3983343258427,486411.283626,89,46,43,0.07581678850718959,1.069767441835587,Greed
2024-04-14,-36104.012520000004,-337.4206777570094,659162.167688,107,46,61,0.09658977456896801,0.7540983606433754,Greed
2024-04-15,3774.08872,92.05094439024391,291111.17707,41,18,23,0.19991576862270982,0.7826086956181475,Greed
2024-04-16,2467.702221,52.504302574468085,181907.20026,47,31,16,0.17615020517972604,1.9374999998789062,Greed
2024-04-17,2441.4683999999997,174.39059999999998,97562.9796,14,13,1,0.2031458691005232,12.999999986999999,Greed
2024-04-19,1946.4454620000001,55.61272748571429,337257.91968,35,5,30,0.10228548173607901,0.1666666666611111,Greed
2024-04-20,0.0,0.0,60733.23488,22,20,2,0.12924080966909016,9.999999995,Greed
2024-04-22,0.0,0.0,47993.62418,9,0,9,0.11180923898496006,0.0,Greed
2024-04-23,1119.536196,16.962669636363636,233054.85759,66,37,29,0.12031664138899918,1.275862068921522,Greed
2024-04-24,279.185907,13.95929535,141275.21555,20,13,7,0.4184964304557156,1.857142856877551,Greed
2024-04-25,0.0,0.0,120240.99586000001,74,74,0,0.025490827646112428,74000000000.0,Greed
2024-04-26,0.0,0.0,4988.28521,3,0,3,0.0327962300019925,0.0,Greed
2024-04-27,4281.488139,158.57363477777778,154264.46749,27,0,27,0.09764323740109192,0.0,Greed
2024-04-28,0.0,0.0,43985.63142,58,0,58,0.020609997773245937,0.0,Greed
2024-04-29,526.9338359999999,11.709640799999999,108699.00198,45,24,21,0.075892000481626,1.142857142802721,Greed
2024-04-30,0.0,0.0,125018.74591,24,24,0,0.05953154307738162,24000000000.0,Greed
2024-05-04,0.0,0.0,58998.751001000004,9,0,9,0.1553255254691879,0.0,Greed
2024-05-05,0.916,0.15266666666666667,24068.344540000002,6,1,5,0.06489737863617316,0.19999999996,Greed
2024-05-06,968.59038,107.62115333333333,206016.42648,9,8,1,0.4048234107678644,7.999999991999999,Greed
2024-05-07,883.537693,49.08542738888889,108717.587358,18,6,12,0.40354992376148685,0.49999999995833333,Greed
2024-05-08,1.56576,0.12044307692307693,65973.57249,13,12,1,0.14140803627849682,11.999999987999999,Greed
2024-05-09,1147.595856,40.985566285714285,221966.12848999997,28,9,19,0.13455271257485238,0.47368421050138504,Greed
2024-05-10,2101.741695,95.53371340909092,156881.99536,22,16,6,0.24448553521065808,2.666666666222222,Greed
2024-05-12,0.0,0.0,55179.539282,23,17,6,0.21020208088127024,2.833333332861111,Greed
2024-05-13,2136.853859,76.31620925,193118.89158999998,28,5,23,0.24414695816717466,0.21739130433837428,Greed
2024-05-14,1150.5233050000002,50.02275239130436,145853.40901,23,23,0,0.16970734330049997,23000000000.0,Greed
2024-05-15,948.970582,26.360293944444447,234922.58374,36,11,25,0.27621065795307304,0.4399999999824,Greed
2024-05-16,214.5898,7.94777037037037,162620.95312999998,27,14,13,0.1768187337890641,1.0769230768402367,Greed
2024-05-18,3522.3946610000003,140.89578644000002,126303.14745,25,7,18,0.21085836246895284,0.38888888886728395,Greed
2024-05-19,0.0,0.0,29998.084300000002,8,8,0,0.23530298021228674,7999999999.999999,Greed
2024-05-20,-74.818442,-7.4818442,38124.759653,10,7,3,0.11018341653363024,2.3333333325555556,Greed
2024-05-21,7289.397571999999,58.31518057599999,1100948.58418,125,29,96,0.14016597165728978,0.3020833333301866,Greed
2024-05-22,0.0,0.0,44995.28661,6,0,6,0.020719694134848903,0.0,Greed
2024-05-23,413.347329,1.2718379353846154,401850.593567,325,189,136,0.059098356170277117,1.3897058823427229,Greed
2024-05-24,821.949278,410.974639,50811.902200000004,2,0,2,0.7773264930944377,0.0,Greed
2024-05-25,14.126038999999999,0.8828774374999999,29991.122934000003,16,7,9,0.7703979022452229,0.777777777691358,Greed
2024-05-26,778.6839,48.66774375,53976.68183,16,2,14,0.056686372995686574,0.14285714284693876,Greed
2024-05-27,1129.35587,4.499425776892431,151115.724461,251,93,158,0.023547032320308702,0.5886075949329835,Greed
2024-05-29,277.791953,1.6938533719512194,84268.709095,164,67,97,0.2842832364307009,0.6907216494774152,Greed
2024-05-30,20.951433,2.9930618571428576,2838.085376,7,5,2,1.5914627792667548,2.49999999875,Greed
2024-05-31,25.35812,1.9506246153846154,3636.149459,13,4,9,0.8634202654597635,0.4444444443950617,Greed
2024-06-01,91.510419,3.66041676,12834.623744,25,9,16,0.4366843696798612,0.5624999999648438,Greed
2024-06-02,192.906947,2.074268247311828,29464.546476,93,34,59,0.06011964614468536,0.5762711864309107,Greed
2024-06-03,562.808208,8.040117257142859,21466.868433,70,44,26,0.047556469621285846,1.6923076922426035,Greed
2024-06-04,52.211438,0.9851214716981133,24243.41788,53,25,28,0.13583484057358963,0.8928571428252551,Greed
2024-06-05,56.055506,1.038064925925926,25350.75432,54,17,37,0.17733900887823179,0.4594594594470417,Greed
2024-06-06,274.173187,1.1716802863247862,137557.83376,234,102,132,0.05390473523569089,0.7727272727214188,Greed
2024-06-07,8902.467416,20.23288049090909,1098588.8932400001,440,181,259,0.05911380027520503,0.6988416988390006,Greed
2024-06-08,129.13883900000002,4.453063413793104,97351.86465,29,21,8,0.3842243267764726,2.624999999671875,Greed
2024-06-09,0.0,0.0,22410.216839999997,17,17,0,0.05702068921233192,16999999999.999998,Greed
2024-06-10,31.266804999999998,0.589939716981132,46587.90546,53,22,31,0.08811705880405027,0.7096774193319458,Greed
2024-06-11,4320.631811,35.12708789430894,373279.909833,123,114,9,0.06113547305221427,12.666666665259259,Greed
2024-06-12,-21886.531493,-86.16744682283463,193407.9471,254,115,139,0.026041064342954164,0.8273381294904508,Greed
2024-06-13,6632.757115,83.95895082278481,132577.23353,79,76,3,0.0821426479415974,25.333333324888887,Greed
2024-06-14,10258.592609,330.9223422258064,139868.6321,31,31,0,0.019776399741810204,30999999999.999996,Greed
2024-06-15,3369.958346,43.20459417948718,718350.23447,78,9,69,0.06714368716014842,0.1304347826068053,Greed
2024-06-16,0.0,0.0,25235.095559999998,11,0,11,0.024958668777316083,0.0,Greed
2024-06-17,10599.502375,278.9342730263158,368380.12568,38,32,6,0.21848963829411455,5.333333332444444,Greed
2024-06-18,282.57636,11.3030544,263314.82219000004,25,21,4,0.18017859422146532,5.2499999986875,Greed
2024-06-19,4887.656944,80.12552367213115,417071.12466,61,3,58,0.1260841463537007,0.05172413793014269,Greed
2024-06-20,57478.456026,1473.8065647692308,207990.784464,39,0,39,0.18724766179735003,0.0,Greed
2024-06-21,773.5582039999999,9.66947755,176264.47105999998,80,68,12,0.11957693553065153,5.666666666194445,Greed
2024-06-23,0.0,0.0,1792.12,5,0,5,0.030754789025462286,0.0,Greed
2024-06-25,4869.353105,99.3745531632653,103099.07311,49,11,38,0.10915869486259971,0.2894736842029086,Fear
2024-06-27,0.0,0.0,130486.9624,30,12,18,0.08854049737494829,0.6666666666296296,Fear
2024-06-29,6150.326145,82.0043486,280095.11999100004,75,35,40,0.15806884147322608,0.874999999978125,Fear
2024-07-04,0.0,0.0,430567.99370999995,25,25,0,0.120897449251593,25000000000.0,Fear
2024-07-05,0.0,0.0,272289.87738,32,32,0,0.0305204392040486,31999999999.999996,Fear
2024-07-06,108.87217799999999,4.53634075,2490.18429332,24,17,7,0.03285071437331386,2.42857142822449,Fear
2024-07-07,61.428942,6.1428942,498.75,10,0,10,0.00524090123258738,0.0,Fear
2024-07-08,0.0,0.0,497.64,1,1,0,0.06741613908747202,999999999.9999999,Fear
2024-07-09,648.984412,43.265627466666665,2736.4455,15,0,15,0.018266504146030923,0.0,Fear
2024-07-10,11977.734907,213.88812333928573,687900.18475,56,10,46,0.06563146610577276,0.2173913043431002,Fear
2024-07-11,1876.812082,98.77958326315789,169887.01205999998,19,10,9,0.19978754780400348,1.1111111109876544,Fear
2024-07-12,1412.314654,74.33235021052631,89582.96714000001,19,19,0,0.09433017371393787,19000000000.0,Fear
2024-07-13,2913.617837,171.38928452941175,139189.19196,17,0,17,0.1503458746671052,0.0,Fear
2024-07-14,0.0,0.0,84001.12074,7,0,7,0.4024217088988812,0.0,Fear
2024-07-16,0.0,0.0,144000.54916,22,0,22,0.01983380412942012,0.0,Greed
2024-07-17,1859.269477,5.297064037037037,626005.51014,351,155,196,0.018665708306225513,0.7908163265265775,Greed
2024-07-18,3803.884311,63.398071849999994,649704.82814,60,60,0,0.0541150546031504,60000000000.0,Greed
2024-07-19,2155.891114,93.73439626086956,150269.43056,23,1,22,0.1930722579123343,0.04545454545247934,Greed
2024-07-20,2299.169566,8.643494609022557,244362.21072,266,41,225,0.02417014118173774,0.18222222222141235,Greed
